name,url,specialties
SENNS.Restaurant,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/senns-restaurant,"['Jakobsmuschel, Tomate, Yuzu, Olivenöl', 'Rehrücken, Gelbe Rübe, Sanddorn, Spitzkraut', 'Topinambur, Mohn, Brombeere']"
Ikarus,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/ikarus,"['Muscheln, Tomate, Artischocke', 'Steinbarsch, Zwiebel, Speck, Oregano', 'Eingelegte Erdbeeren, Milcheis, Feigenblatt-Öl']"
Mraz & Sohn,https://guide.michelin.com/at/en/vienna/wien/restaurant/mraz-sohn,"['Jakobsmuschel mit Marinade', 'Gedämpfter Chinakohl', 'Karotte und Joghurt']"
Konstantin Filippou,https://guide.michelin.com/at/en/vienna/wien/restaurant/konstantin-filippou,"['Lachsforelle, Shiso, Safran, Kohlrabi', 'Kroatischer Langostino, Kalbszunge, Cochayuyo, Zitrus', 'Kirsche, Apfel, Ingwer, Schokolade']"
Silvio Nickol Gourmet Restaurant,https://guide.michelin.com/at/en/vienna/wien/restaurant/silvio-nickol-gourmet-restaurant,"['Entenleber, Pilze, Schokolade, Fichtenwipfel', 'Nuart Lamm, Kirsche, Ingwer, Petersilie', 'Quitte, Alpenmilch, Verbene, Schotten']"
Steirereck im Stadtpark,https://guide.michelin.com/at/en/vienna/wien/restaurant/steirereck-im-stadtpark,"['Saibling im Bienenwachs mit gelber Rübe, Pollen und Rahm', 'Waller mit Schönbrunner Calamansi, Mispeln und Kamut', 'Götterfrucht mit Haselnüssen, Herbsttrompeten und Salzkaramell']"
Baumé,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/baume,"['Artichoke and truffle soup', 'Le Jaune d’oeuf fume with cauliflower and buckwheat', 'Pear with chocolate macaron']"
Commis,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commis,"['Carrot tartare with young coconut and mint', 'Slow poached egg yolk, over a malt infused custard, served with whole grain sourdough', 'Strawberries with pistachio crumble and raw milk ice cream']"
Californios,https://guide.michelin.com/us/en/california/san-francisco/restaurant/californios,"['Ceviche, cured Japanese buri with pomegranate and pear granita', 'Street Taco, short rib with mole negro, shaved truffle, and fermented spring onion', 'Camote Enmielado, sweet potato with sesame and pompona vanilla']"
Lazy Bear,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lazy-bear,"['Grilled lamb, carrot, spring herbs and flowers', 'Ham and barley broth, charred onion, fudgy yolk', 'Raspberry, chiles, nuts and seeds']"
Saison,https://guide.michelin.com/us/en/california/san-francisco/restaurant/saison,"['Dungeness crab with black cardamom and grapefruit', 'Venison with honey nut squash and chanterelles', 'Dandelion chocolate with cacao mousse and cocao nib']"
Campton Place,https://guide.michelin.com/us/en/california/san-francisco/restaurant/campton-place,"['Day Boat scallop dosa', 'Slow-cooked lamb with spiced yogurt, cashew basmati pilaf, and market brassicas', 'Dark chocolate mousse with meringue, candied hazelnut, and citrus ice cream']"
Coi,https://guide.michelin.com/us/en/california/san-francisco/restaurant/coi,"['New potatoes and celtuce with comte, truffle, and tarragon', 'Smoked black cod wrapped in scallop mousse with herb puree', 'Silken white chocolate with kiwi and coffee']"
Acquerello,https://guide.michelin.com/us/en/california/san-francisco/restaurant/acquerello,"['Swiss chard and mushroom raviolo with brown butter, Parmesan and Balsamic vinegar', 'Dry-aged squab breast with sour cherry, fennel, smoked honey and elderflower', 'Gianduja mousse with dark chocolate, cocoa nib and champagne']"
Urasawa,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/urasawa,
Sushi Ginza Onodera,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/sushi-ginza-onodera559850,"['Chawanmushi egg custard with Italian caviar, uni, and fresh wasabi', 'Anago sea eel two ways with shanso and yuzu zest', 'Coconut pudding with matcha green tea sauce, kuromame and gold flake']"
Somni,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/somni,
Providence,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/providence,"['Uni egg with Champagne beurre blanc, brioche croutons', 'Farfalle with shellfish broth, geoduck, squid and basil', 'Hawaiian chocolate with chocolate gelato']"
n/naka,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/n-naka,"['Spiny lobster with white truffle', 'Spaghetti with abalone and truffles', 'Marron cake with shoyu-kogi ice cream']"
Vespertine,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/vespertine,"['Hokkaido sea scallop with yuzu broth', 'Grilled golden eye snapper with crispy skin, preserved bougainvillea and tart strawberry sauce', 'Cucumber cream with redwood leaf granita']"
Smyth,https://guide.michelin.com/us/en/illinois/chicago/restaurant/smyth,"['Seawater Floridian mussel with kelp', 'Aged carrot roasted with beef and brioche', 'Egg yolk soaked in salted licorice with yogurt meringue']"
Oriole,https://guide.michelin.com/us/en/illinois/chicago/restaurant/oriole,"['Crab shumai in kabocha and ginger broth', 'Caraway capellini paired with a rich yeast butter, puffed wheat, and shaved black truffles', 'Cheese soufflé']"
Acadia,https://guide.michelin.com/us/en/illinois/chicago/restaurant/acadia,"['Yukon gold potato “risotto” studded with tender leeks, sweet English peas, savory morels and truffle butter', 'Burgundy snail with guanciale, Himalayan rice, and Alubia blanca beans', 'Black sesame custard with koji ice cream and black sesame jam']"
KOKS,https://guide.michelin.com/dk/en/faroe-islands/leynar/restaurant/koks558780,"['Mahogany clam with beach herbs and seaweed', 'Fermented ocean perch with ""garnatálg"", potatoes and cheese', 'Flan of dulse with blueberries']"
Henne Kirkeby Kro,https://guide.michelin.com/dk/en/southern-denmark/henne/restaurant/henne-kirkeby-kro,"['Danish Black lobster with Henne garden Tomatoes', '""Rabbit crépine with its own lunch""', 'Peach Melba']"
a‚o‚c,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/a%E2%80%9Ao%E2%80%9Ac,"['Langoustine with cherries and chamomile', 'Quail in juniper', 'Warm summer berries and corn']"
noma,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/noma,"['Butterfly flatbread', 'Celeriac shawarma', 'Rose terracotta cake']"
Kadeau Copenhagen,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kadeau-copenhagen,"['Cold and hot smoked salmon with semi-ripe figs', 'Mallard, beets and conifers', 'Japanese quince with raw milk ice cream']"
Spondi,https://guide.michelin.com/gr/en/attica/athina/restaurant/spondi,"['Langoustine with caviar, watermelon radish and calamondin', 'Challans duck with cherries, red shiso and beetroot', 'Apple with lemongrass, yoghurt and apple sorbet']"
Sun Tung Lok,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/sun-tung-lok,
Yan Toh Heen,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/yan-toh-heen,
Tin Lung Heen,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/tin-lung-heen,
Tenku RyuGin,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/tenku-ryugin,
Forum,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/forum,
Sushi Saito,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/sushi-saito,
Pierre,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/pierre,
Ying Jee Club,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ying-jee-club,
Écriture,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ecriture,
Ta Vie,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ta-vie,
Amber,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/amber569032,
Kashiwaya,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/kashiwaya,
Onyx,https://guide.michelin.com/hu/en/central-hungary/budapest/restaurant/onyx,"['Duck liver, coffee and truffle', 'Pigeon with carrot and golden raisins', 'Gianduja tart with bergamot and baguette ice cream']"
Feng Wei Ju,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/feng-wei-ju,
Golden Flower,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/golden-flower,
Mizumi (Macau),https://guide.michelin.com/mo/en/macau-region/macau/restaurant/mizumi-macau,
The Tasting Room,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/the-tasting-room,
Alain Ducasse at Morpheus,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/alain-ducasse-at-morpheus,
L'Atelier de Joël Robuchon,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/l-atelier-de-joel-robuchon562505,"['Artichoke salad', 'Parisian gnocchi with celery root', 'Mille-feuille']"
Jungsik,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jungsik,"['Mushroom with poached egg', 'Tuna kimbap', 'Baby banana with dulcey ganache and French coffee ice cream']"
Atera,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atera,"['Granita with juniper', 'Halibut with pistachio brown butter', 'Lemongrass milk with lemon sorbet']"
Jean-Georges,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jean-georges,"['Crispy lamb sweetbreads', 'Peekytoe crab risotto', 'Young coconut semifreddo']"
Marea,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/marea,"['Nova Scotia lobster with burrata, basil, and eggplant al funghetto', 'Fusilli with red wine braised octopus and bone marrow', 'Lemon semifreddo with almond sable, coffee, and cinnamon sabayon']"
Gabriel Kreuther,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gabriel-kreuther,"['Sturgeon and sauerkraut tart with caviar mousseline', 'Heritage pork tenderloin with grilled cabbage', 'Herb citrus gelee with herb sphere and lime-vanilla sorbet']"
Ichimura at Uchū,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ichimura-at-uchu,"['Mochi with ankimo', 'Chutoro nigiri', 'Tomago']"
Sushi Ginza Onodera,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-ginza-onodera,"['Chawanmushi with sea urchin and Italian caviar', 'Toro scallion hand roll', 'Coconut blancmange with green tea sauce, black bean, and gold leaf']"
Ko,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ko,"['Uni with hummus and olive oil', 'Beef with green peppercorn sauce and tamarind', 'Mandarin Tarte Tatin with cheese']"
The Modern,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-modern,"['Grilled Provencal white asparagus with brown butter and spring garlic', 'Sauteed striped bass with celtuce', 'Coconut and mango shumai']"
Aquavit,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aquavit,"['Hen of the woods mushroom,cabbage, sourdough, Priest cheese', 'Halibut, kohlrabi, pear, elderflower mussel foam', 'Artic birds nest, blueberry and goat cheese']"
Daniel,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/daniel,"['Braised kona abalone in puff pastry with wild monterey bay foraged seaweed and crushed fingerling potatoes', 'Tasting of Pennsylvania rabbit with green olives, braised leg ravioli, Brussels sprouts and sauce dijonaise', 'Roasted bartlett pears with gingerbread biscuit and chestnut honey ice cream']"
Aska,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aska,"['Bladderwrack of crisp blades of kelp dotted with Blue mussel emulsion', 'Langoustine, wrapped around spruce-twigs, flowers, leaves- tied up and grilled, gently charred, smoky yet the flavor of the shrimp ever-so-present', 'Strawberries, milk sorbet, wild strawberries, fermented strawberry juice']"
Blanca,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/blanca,"['Potato bottarga', 'Lasagna with peas and fava beans', 'Sunflower sorbet with chamomile']"
Patrick Guilbaud,https://guide.michelin.com/ie/en/dublin/city-centre/restaurant/patrick-guilbaud,"['Blue lobster ravioli with coconut scented lobster cream, toasted almonds and curry dressing', 'Wicklow Hills fillet of lamb, piquillo pepper, wet garlic and black olive oil', 'Contemporary dark chocolate tart with Bourbon vanilla ice cream']"
Oro,https://guide.michelin.com/br/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/oro,"['Ostra, torresmo e caipirinha', 'Costela de porco, cerveja preta e baroa', 'Mamão verde e queijadinha']"
Tuju,https://guide.michelin.com/br/en/sao-paulo-region/sao-paulo/restaurant/tuju,
D.O.M.,https://guide.michelin.com/br/en/sao-paulo-region/sao-paulo/restaurant/d-o-m,"['Salada de cogumelos yanomami', 'Cupim, mandioquinha e toffee de baunilha do Cerrado', 'Mochi de tapioca e rapadura com sorvete de erva-mate']"
Kojima,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/kojima,
Jungsik,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/jungsik511965,
Kwonsooksoo,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/kwonsooksoo,
Mingles,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/mingles,
Alla Prima,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/alla-prima,
Waku Ghin,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/waku-ghin,
Odette,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/odette,
Shoukouwa,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/shoukouwa,
Shisen Hanten,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/shisen-hanten,
Les Amis,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/les-amis,
Fäviken Magasinet,https://guide.michelin.com/se/en/jamtland/jarpen/restaurant/faviken-magasinet,
Gastrologik,https://guide.michelin.com/se/en/stockholm-region/stockholm/restaurant/gastrologik,"['Grilled langoustine with ""Swedish curry"" and herbs', 'Quail with sprouting broccoli and buckwheat', 'Sorrel ice cream with wild blueberries and tarragon']"
Oaxen Krog,https://guide.michelin.com/se/en/stockholm-region/stockholm/restaurant/oaxen-krog,"['Crab tartlet with trout roe & herb salad', 'Pike perch with seaweed & sauce of 200 year old Mahogany clam', 'Rhubarb with tagetes from our garden & chard cooked in ättika']"
Vollmers,https://guide.michelin.com/se/en/skane/malmo/restaurant/vollmers,"['Cabbage with lardo and ramson', 'Quail with chanterelles and corn', 'Fresh cheese with rosehip and bee pollen']"
Daniel Berlin,https://guide.michelin.com/se/en/skane/skane-tranas/restaurant/daniel-berlin,
RAW,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/raw,
Shoun RyuGin,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/shoun-ryugin,
Taïrroir,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/tairroir,
Sushi Amamoto,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/sushi-amamoto,
The Guest House,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/the-guest-house,
Gaggan,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/gaggan,
Sühring,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/suhring,
Mezzaluna,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/mezzaluna,
Le Normandie,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/le-normandie,
minibar,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/minibar,"['Parmesan danish', 'Squab with huckleberry', 'Fried donut with Krispy Kreme ice cream']"
Pineapple and Pearls,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/pineapple-and-pearls,"['Foie gras French toast with Perigord black truffles', 'Shenandoah Valley lamb with chimichurri and harissa emulsion', 'Apple pie with Grayson cheese']"
Andrew Fairlie at Gleneagles,https://guide.michelin.com/gb/en/perth-and-kinross/auchterarder/restaurant/andrew-fairlie-at-gleneagles,"['Home-smoked lobster with lime and herb butter', 'Assiette of pork, parsnip pureé, barolo and truffle sauce', 'Vanilla soufflé with roast fig and fig leaf ice cream']"
L'Enclume,https://guide.michelin.com/gb/en/cumbria/cartmel/restaurant/l-enclume,"['Aynesome offerings, smoked Holker Farm cheese, roast chicken skin, rosehips and yeast', 'Lamb loin, broad beans, fennel pollen and fig leaf sauce', 'Gooseberry and sweet cicely custard, buttermilk and gooseberry ripples']"
Raby Hunt,https://guide.michelin.com/gb/en/darlington/summerhouse/restaurant/raby-hunt,"['Lobster Américaine, Roscoff onions and white truffle', 'A5 Miyazaki Wagyu, smoked aubergine and red pepper', 'Tropical îles flottante']"
Moor Hall,https://guide.michelin.com/gb/en/lancashire/aughton/restaurant/moor-hall,"['Holstein Friesian, barbecued celeriac, mustard and shallot', 'Sladesdown duck with blackcurrant, sweetcorn, beetroot ragu and whey', 'Apples & pears with woodruff, birch sap and apple marigold']"
Restaurant Sat Bains,https://guide.michelin.com/gb/en/nottingham/nottingham/restaurant/restaurant-sat-bains,"['Eel teriyaki, chawanmushi, caviar', 'Partridge with sweetcorn, chicory royale and Alba truffle', 'The Forest of Sherwood']"
Restaurant Nathan Outlaw,https://guide.michelin.com/gb/en/cornwall/port-isaac/restaurant/restaurant-nathan-outlaw,"['Raw scallop and cider cured brill with grape and pumpkin seed dressing', 'Whole John Dory with shellfish bisque', 'Apple and almond tart with cider brandy cream']"
Belmond Le Manoir aux Quat' Saisons,https://guide.michelin.com/gb/en/oxfordshire/great-milton/restaurant/belmond-le-manoir-aux-quat-saisons,"['Cornish crab with kaffir lime, coconut and passion fruit', 'Roast fillet of Aberdeen Angus beef with braised Jacob’s ladder', 'Dark chocolate cup with textures of cappuccino']"
Midsummer House,https://guide.michelin.com/gb/en/cambridgeshire/cambridge/restaurant/midsummer-house,"['Scallop with Granny Smith, celeriac and truffle purée', 'Salt-aged Thirkleby Mill Farm duck, barbecued sweet potato and sorrel', 'Green guava sorbet, black sesame, chilli and garlic']"
Hand and Flowers,https://guide.michelin.com/gb/en/buckinghamshire/marlow/restaurant/hand-and-flowers,"['Glazed omelette of smoked haddock and parmesan', 'Sirloin of beef with The Hand & Flowers chips, Bordelaise and béarnaise sauces', 'Banana and chocolate soufflé with coconut crémeux and banana bread']"
Ledbury,https://guide.michelin.com/gb/en/greater-london/north-kensington/restaurant/ledbury,
CORE by Clare Smyth,https://guide.michelin.com/gb/en/greater-london/north-kensington/restaurant/core-by-clare-smyth,"['‘Potato and roe’ - dulse beurre blanc, herring and trout roe', ""'Beef and oyster' - Highland Wagyu beef and Porthilly oysters"", ""'Core-teser' - chocolate, malt and hazelnut""]"
Le Gavroche,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/le-gavroche,"['Soufflé Suissesse', 'Chevreuil rôti, panisse et ail noir, genièvre et jus', 'Sablé et crème de châtaignes, chocolat amer, glace au lait']"
Kitchen Table at Bubbledogs,https://guide.michelin.com/gb/en/greater-london/bloomsbury/restaurant/kitchen-table-at-bubbledogs,"['Crispy chicken skin, rosemary infused mascarpone and bacon jam', 'Grilled Cornish lobster with roast lobster sauce, marinated beetroot, orange and tarragon', 'Poached rhubarb, milk ice cream and burnt pepper meringue']"
Hélène Darroze at The Connaught,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/helene-darroze-at-the-connaught,"[""Cornish brown and spider crabs, pomelo, lampong pepper, 'txangurro'"", 'Grouse ‘Wellington’, turnip, heather honey, bergamot and whisky', 'Signature Baba']"
Dinner by Heston Blumenthal,https://guide.michelin.com/gb/en/greater-london/hyde-park/restaurant/dinner-by-heston-blumenthal,"['Mandarin, chicken liver parfait and grilled bread (c.1500)', 'Hereford rib-eye, mushroom ketchup and triple cooked chips (c.1830)', 'Tipsy cake with spit roast pineapple (c.1810)']"
Umu,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/umu,"['Tuna tartare with Chinese yam, wasabi and Kaluga caviar', 'Grade 11 Wagyu beef hoba-yaki with miso nut sauce', 'Charamisu with matcha tea and Ginjo sake']"
Sketch (The Lecture Room & Library),https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/sketch-the-lecture-room-library,"[""Scottish langoustines '5 ways'"", 'Saddle of cumin marinated wild Yorkshire venison, juniper and Sarawak pepper', ""Pierre Gagnaire's 'Grand Dessert'""]"
Greenhouse,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/greenhouse69393,
Claude Bosi at Bibendum,https://guide.michelin.com/gb/en/greater-london/chelsea/restaurant/claude-bosi-at-bibendum,"['Duck jelly, smoked sturgeon, special selection Daurenki caviar', 'Brittany rabbit with Scottish langoustine and French tarragon', '100% chocolate soufflé with Madagascan vanilla ice cream']"
